Xbox Game Title	Title ID	Title	XDK version
Gauntlet Dark Legacy	0x4D57000E	Gauntlet Dark Legacy	4242
Gauntlet: Seven Sorrows	0x4D570022	Gauntlet: Seven Sorrows	5849
Gene Troopers	0x544D0011	Gene Troopers	5849
Genma Onimusha	0x43430001	GENMA ONIMUSHA	3948
Ghost Master The Gravenville Chronicles	0x454D0004	Ghost Master	5849
Gladiator: Sword of Vengeance	0x4143001A	Gladiator: SoV	5558
Gladius	0x4C410008	Gladius™	5659
Goblin Commander: Unleash the Horde	0x4A410005	Goblin Commander	5659
Godzilla: Destroy All Monsters Melee	0x49470039	Godzilla: Melee	5233
Godzilla: Save the Earth	0x49470073	Save the Earth	5849
GoldenEye: Rogue Agent	0x4541005D	GoldenEye: Rogue Agent	5849
Gotcha	0x5454007E	Gotcha!	5849
Grabbed by the Ghoulies	0x4D530053	Grabbed by the Ghoulies	5659
Grand Theft Auto Double Pack				
Grand Theft Auto III	0x5454000E	Grand Theft Auto III	5659
Grand Theft Auto: San Andreas	0x545400A3	GTA San Andreas	5849
Grand Theft Auto: Vice City	0x5454000F	Grand Theft Auto: Vice City	5659
Gravity Games Bike	0x4D57000D	Gravity Games Bike: Street Vert Dirt	4361
Greg Hastings' Tournament Paintball	0x41560042	Greg Hastings' Tournament Paintball	5849
Greg Hastings’ Tournament Paintball MAX’D	0x41560057	GHTP Max'd	5849
Grooverider Slot Car Thunder	0x45430002	Grooverider: Slot Car Thunder	5455
Group S Challenge	0x43430005	GROUP-S	5233
GUILTY GEAR ISUKA	0x41570001	GUILTY GEAR ISUKA	5849
Guilty Gear X2 #Reload	0x53410002	GuiltyGearX2#RELOAD	5849
GUN	0x4156004B	Gun	5849
Gun Metal	0x4D4A0003	Gun Metal	4361
GunGriffon: Allied Strike	0x54430009	GUNGRIFFON Allied Strike	5849
GunValkyrie	0x5345000B	GUNVALKYRIE	4134
Half-Life 2	0x45410091	Half - Life 2	5849
Half-Life 2 (hl2_xbox.xbe)	0x45410091	Half Life 2 - Retail Build	5849
Halo (NTSC)	0x4D530004	Halo	3925
Halo (NTSC-J)	0x4D530004	Halo	3948
Halo (PAL)	0x4D530004	Halo	3948
Halo 2	0x4D530064	Halo 2	5849
Halo 2 Multiplayer Map Pack	0x4D5380CD	Halo 2 Multiplayer Map Pack	5849
Harry Potter and the Chamber of Secrets	0x4541000E	N/A	5028
Harry Potter and the Goblet of Fire	0x45410077	Harry Potter: GOF	5849
Harry Potter and the Prisoner of Azkaban	0x4541004C	Harry Potter: POA	5849
Harry Potter and the Sorcerer's Stone	0x45410037	Harry Potter: SS	5659
Harry Potter: Quidditch World Cup	0x4541003D	Quidditch World Cup	5659
Headhunter: Redemption	0x53450025	Redemption	5849
Hello Kitty Roller Rescue	0x58500004	Hello Kitty Roller Rescue	5849
Hermann Maier Ski Racing 2005	0x4A570005	Ski Racing 2005	5849
Heroes of the Pacific	0x45430004	Heroes of the Pacific	5849
High Heat Baseball 2004	0x54440006	High Heat MLB 2004	5233
High Rollers Casino	0x4253000F	High Rollers Casino	5849
Hitman - Silent Assassin (NTSC-J)	0x45530009	Hitman: Silent Assassin	5233
Hitman 2: Silent Assassin	0x45530009	Hitman2: Silent Assassin	4531
Hitman: Blood Money	0x534300FA	Hitman Blood Money	5849
Hitman: Contracts	0x45530012	Hitman Contracts	5849
Hot Wheels: Stunt Track Challenge	0x54510089	Hot Wheels Stunt Track Challenge	5849
House of the Dead 2	0x53450008	House of the Dead 2	4831
House of the Dead 3	0x53450008	House of the Dead 3	4831
HUMMER Badlands	0x5454009C	Hummer	5849
Hunter: The Reckoning	0x56550007	Hunter: The Reckoning	4361
Hunter: The Reckoning Redeemer	0x5655002D	Hunter: Redeemer	5558
Ice Age 2: The Meltdown Video Game	0x5655004B	Ice Age 2 The Meltdown	5849
IHRA Drag Racing 2004	0x42530006	IHRA	5558
IHRA Drag Racing Sportsman Edition	0x42530011	IHRA Sportsman	5849
IHRA Professional Drag Racing 2005	0x4253000C	IHRA Pro 2005	5849
Indiana Jones: Emperor's Tomb	0x4C410007	Indiana Jones	5120
Indigo Prophecy	0x4947007B	Indigo Prophecy	5849
IndyCar Series	0x434D0006	INDYCAR™ SERIES	5455
IndyCar Series 2005	0x434D0024	IndyCar® Series 2005	5849
I-Ninja	0x4E4D000F	I-Ninja	5659
Innocent Tears	0x4B550001	Innocent Tears	4627
Inside Pitch 2003	0x4D530034	Inside Pitch 2003	5344
Intellivision Lives!	0x43560006	Intellivision Lives!	5659
International Superstar Soccer2	0x4B4E0008	International Superstar Soccer2	4361
Iron Phoenix	0x53410003	Iron Phoenix	5849
Jacked	0x454D001E	Jacked	5849
Jade Empire	0x4D53006D	Jade Empire	5849
JAWS Unleashed	0x4D4A000F	JAWS Unleashed	5849
Jet Set Radio Future	0x5345000A	Jet Set Radio Future	4134
Jikkyou World Soccer 2002	0x4B410001	World Soccer 2002	4134
Jockey's Road	0x4D530030	Jockey'sRoad	4531
Judge Dredd: Dredd vs Death	0x58490007	Dredd vs Death	5849
Juiced	0x545100EF	Juiced	5849
Jurassic Park: Operation Genesis	0x5656000A	Jurassic Park: Operation Genesis	5233
Just Cause	0x534300FB	Just Cause	5849
Justice League Heroes	0x57520001	Justice League Heroes	5849
Kabuki Warriors	0x43560001	Kabuki Warriors	3925
Kakuto Chojin	0x4D53000C	Kakuto Chojin	4928
Kao the Kangaroo 2	0x4A570003	Kao the Kangaroo 2	5849
Karaoke Revolution	0x4B4E0025	Karaoke Revolution	5849
